Date,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY,HR,AR,HC,AC,HO,AO,total_goals,total_cards,total_corners,total_offsides,home_avg_goals,home_avg_cards,home_avg_corners,home_avg_offsides,away_avg_goals,away_avg_cards,away_avg_corners,away_avg_offsides,home_is_Arsenal,away_is_Arsenal,home_is_Aston Villa,away_is_Aston Villa,home_is_Bournemouth,away_is_Bournemouth,home_is_Brentford,away_is_Brentford,home_is_Brighton,away_is_Brighton,home_is_Burnley,away_is_Burnley,home_is_Chelsea,away_is_Chelsea,home_is_Crystal Palace,away_is_Crystal Palace,home_is_Everton,away_is_Everton,home_is_Fulham,away_is_Fulham,home_is_Ipswich,away_is_Ipswich,home_is_Leeds,away_is_Leeds,home_is_Leicester,away_is_Leicester,home_is_Liverpool,away_is_Liverpool,home_is_Luton,away_is_Luton,home_is_Man City,away_is_Man City,home_is_Man United,away_is_Man United,home_is_Newcastle,away_is_Newcastle,home_is_Nott'm Forest,away_is_Nott'm Forest,home_is_Sheffield United,away_is_Sheffield United,home_is_Southampton,away_is_Southampton,home_is_Sunderland,away_is_Sunderland,home_is_Tottenham,away_is_Tottenham,home_is_West Ham,away_is_West Ham,home_is_Wolves,away_is_Wolves,is_weekend,year,month,home_avg_gs_5,home_avg_gc_5,away_avg_gs_5,away_avg_gc_5,rest_days_home,rest_days_away,h2h_avg_goals,home_points,away_points,goal_diff,home_points_5,home_points_10,home_gd_5,home_gd_10,home_elo_like,away_points_5,away_points_10,away_gd_5,away_gd_10,away_elo_like,elo_diff,points5_diff,gd5_diff
2022-10-01,Bournemouth,Brentford,0,0,1,2,0,0,7,8,,,0,3,15,0.0,0.8,1.6,2.6,0.0,1.8,1.6,4.4,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,31.0,32.0,,1,1,0,1.0,,-2.2,,0.017489372786935638,1.0,,-0.2,,0.8601617663379801,-0.8426723935510445,0.0,-2.0
2022-10-01,Fulham,Newcastle,1,4,2,0,1,0,1,8,,,5,3,9,0.0,2.0,3.2,4.8,0.0,1.2,2.2,7.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,32.0,31.0,,0,3,-3,1.8,,0.2,,1.0440763338381542,0.8,,-0.2,,0.6484723974229788,0.39560393641517544,1.0,0.4
2022-10-01,Crystal Palace,Chelsea,1,2,1,3,0,0,5,2,,,3,4,7,0.0,1.4,2.0,3.2,0.0,1.4,2.4,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,32.0,32.0,,0,3,-1,1.2,,0.0,,0.4927166055928922,1.4,,-0.4,,0.9475728776952315,-0.45485627210233925,-0.19999999999999996,0.4
2022-10-01,Liverpool,Brighton,3,3,1,1,0,0,9,2,,,6,2,11,0.0,2.6,1.2,8.4,0.0,1.8,1.2,5.8,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,31.0,32.0,,1,1,0,1.6,,1.8,,1.5815199366568562,2.0,,1.0,,1.7095260148668576,-0.12800607821000143,-0.3999999999999999,0.8
2022-10-02,Man City,Man United,6,3,0,3,0,0,5,1,,,9,3,6,0.0,3.4,0.8,6.4,0.0,1.4,3.2,3.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,32.0,31.0,,3,0,3,2.2,,2.2,,2.419090973390804,2.4,,0.2,,1.4256142769640532,0.993476696426751,-0.19999999999999973,2.0
2022-10-02,Leeds,Aston Villa,0,0,3,2,1,0,2,9,,,0,6,11,0.0,1.6,2.2,5.6,0.0,0.8,2.2,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,33.0,32.0,,1,1,0,1.0,,-0.2,,0.6180092581723964,0.8,,-0.6,,0.4741097378949827,0.1438995202774137,0.19999999999999996,0.39999999999999997
2022-10-03,Leicester,Nott'm Forest,4,0,2,4,0,0,6,6,,,4,6,12,0.0,1.2,1.6,3.2,0.0,1.0,2.6,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,10,,,,,32.0,33.0,,3,0,4,0.0,,-2.0,,-0.7114328820357786,0.2,,-2.0,,-0.38711957049900614,-0.32431331153677245,-0.2,0.0
2022-10-08,Bournemouth,Leicester,2,1,1,2,0,0,7,2,,,3,3,9,0.0,0.8,1.4,3.4,0.0,1.8,1.6,4.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,7.0,21.0,,3,0,1,1.2,,-1.6,,0.11976805409219714,0.6,,-1.0,,0.010462846221724933,0.10930520787047221,0.6,-0.6000000000000001
2022-10-08,Chelsea,Wolves,3,0,2,0,0,0,4,2,,,3,2,6,0.0,1.4,2.4,4.8,0.0,0.4,2.4,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2022,10,,,,,35.0,7.0,,3,0,3,1.8,,-0.2,,1.187637987966719,1.0,,-0.8,,0.10963545048916318,1.0780025374775557,0.8,0.6000000000000001
2022-10-08,Man City,Southampton,4,0,0,1,0,0,9,1,,,4,1,10,0.0,4.0,0.4,6.4,0.0,0.6,1.4,5.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2022,10,,,,,6.0,22.0,,3,0,4,2.6,,2.8,,2.5210884416330095,0.6,,-0.6,,0.22849366056693582,2.292594781066074,2.0,3.4
2022-10-08,Newcastle,Brentford,5,1,0,1,0,0,9,5,,,6,1,14,0.0,1.4,1.4,8.4,0.0,1.4,1.6,5.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,21.0,7.0,,3,0,4,1.2,,0.4,,1.0613595294486908,1.2,,0.0,,0.8144819089345143,0.2468776205141765,0.0,0.4
2022-10-08,Brighton,Tottenham,0,1,1,2,0,0,6,2,,,1,3,8,0.0,2.4,1.0,4.8,0.0,2.4,2.4,4.6,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2022,10,,,,,34.0,7.0,,0,3,-1,2.0,,1.0,,1.4968521751164596,2.0,,1.0,,1.622047661206653,-0.12519548609019338,0.0,0.0
2022-10-09,Crystal Palace,Leeds,2,1,3,3,0,0,5,3,,,3,6,8,0.0,1.4,1.4,3.8,0.0,1.2,2.4,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,8.0,36.0,,3,0,1,1.0,,-0.2,,0.3216007725466841,1.0,,-0.2,,0.614557245299098,-0.29295647275241393,0.0,0.0
2022-10-09,Arsenal,Liverpool,3,2,1,2,0,0,4,3,,,5,3,7,0.0,2.2,2.2,6.4,0.0,3.0,0.8,9.4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,10,,,,,8.0,36.0,,3,0,1,2.4,,1.0,,2.12384760849327,1.6,,1.8,,1.3933822896586197,0.7304653188346504,0.7999999999999998,-0.8
