,null_count,count,unique,top,freq,mean,min,25%,50%,75%,max,std,variance_targets
home_points_5,0,1205.0,,,,1.375103734439834,0.0,0.8,1.4,1.8,3.0,0.6994380231302327,
home_points_10,61,1144.0,,,,1.3980769230769232,0.1,1.0,1.4,1.8,3.0,0.5720492924808094,
home_gd_5,0,1205.0,,,,-0.010788381742738586,-3.6,-0.8,0.0,0.6,4.4,1.040436494394649,
home_gd_10,61,1144.0,,,,0.021153846153846155,-2.6,-0.5,0.0,0.6,2.9,0.8669129858538641,
home_elo_like,0,1205.0,,,,0.8349342328584287,-0.940629884958918,0.3974674054860304,0.8167816473040507,1.2213880009874896,2.553043917364765,0.6205273006921329,
away_points_5,0,1205.0,,,,1.4174273858921163,0.0,0.8,1.4,2.0,3.0,0.7030982838534706,
away_points_10,64,1141.0,,,,1.4115687992988606,0.1,1.0,1.4,1.8,3.0,0.5750570466356459,
away_gd_5,0,1205.0,,,,0.037676348547717835,-3.0,-0.6,0.0,0.8,4.2,1.0469737649998454,
away_gd_10,64,1141.0,,,,0.03391761612620508,-2.2,-0.5,0.0,0.6,3.1,0.8618611991151922,
away_elo_like,0,1205.0,,,,0.8556126749455519,-0.8247063870291681,0.41827371437510497,0.8334391813199463,1.272954991590574,2.73753021904227,0.6330707846520129,
elo_diff,0,1205.0,,,,-0.02067844208712333,-2.817889673023858,-0.650967759815979,-0.020739333433854812,0.5666163952160489,2.544961521909335,0.8850979713280569,
points5_diff,0,1205.0,,,,-0.04232365145228216,-2.6,-0.6000000000000001,0.0,0.6000000000000001,2.8,0.9961226716074232,
gd5_diff,0,1205.0,,,,-0.048464730290456434,-5.4,-1.0,0.0,0.8000000000000003,5.2,1.4568573273380168,
